Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost
1,Istanbul,2023-07-12 00:00:00,2023-07-15,3,Emily Nelson,58,Female,Spanish,Airbnb,352.81,Plane,42.36
2,Miami,2023-06-11 00:00:00,2023-06-28,17,Ashley Short,33,Male,Brazilian,Hotel,507.17,Bus,502.06
3,Bangkok,2024-08-01 00:00:00,2024-08-26,25,Madeline Hood,48,Male,Mexican,Hotel,177.19,Bus,253.9
4,Rome,2024-08-13 00:00:00,2024-08-30,17,Kelsey Mcclure,52,Male,German,Resort,162.32,Bus,969.8
5,Sydney,2023-08-18 00:00:00,2023-09-06,19,Mark Cuevas,77,Female,Norwegian,Hotel,432.8,Train,697.69
6,Tokyo,2023-10-13 00:00:00,2023-10-24,11,Heather Hernandez,41,Male,Turkish,Airbnb,700.59,Bus,1127.4
7,New York,2023-07-06 00:00:00,2023-07-23,17,Jessica Santos,37,Female,Thai,Hotel,696.49,Car rental,422.36
8,Tokyo,2023-07-19 00:00:00,2023-08-12,24,Jacob Schultz,48,Male,Portuguese,Hotel,311.67,Plane,777.05
9,Amsterdam,2024-08-25 00:00:00,2024-09-10,16,Christopher Berry,61,Male,Vietnamese,Hostel,908.99,Plane,1407.36
10,Miami,2024-08-07 00:00:00,2024-08-28,21,Beth Savage,58,Male,Canadian,Hotel,446.87,Train,354.56
11,Toronto,24-11-2024,2024-12-17,23,Thomas Nunez,21,Female,German,Airbnb,427.9,Boat,291.73
12,Barcelona,2024-10-28 00:00:00,2024-11-20,23,Leah Mendoza,52,Female,Portuguese,Airbnb,213.61,Car rental,290.03
13,Toronto,2023-06-16 00:00:00,2023-07-08,22,Shawn Taylor,43,Male,Turkish,Villa,470.95,Bus,1152.55
14,London,2023-06-06 00:00:00,2023-06-10,4,Erik Scott,76,Male,Russian,Resort,852.78,Plane,769.83
15,Sydney,2024-03-22 00:00:00,2024-04-16,25,Mark Jackson,25,Female,Italian,Hostel,319.11,Bus,1091.74
16,Miami,2023-12-22 00:00:00,2024-01-17,26,Jessica Cooper,44,Female,American,Airbnb,449.04,Boat,563.95
18,Lima,2024-11-17 00:00:00,2024-12-02,15,Stephen Moreno,80,Female,Greek,Hotel,445.54,Car rental,1351.79
19,Amsterdam,2024-08-15 00:00:00,2024-09-12,28,Marcus Bell,49,Male,Spanish,Villa,421.38,Car rental,1357.86
20,Rome,2023-07-06 00:00:00,2023-07-27,21,Robert Gonzalez,68,Male,Irish,Villa,210.07,Plane,80.01
21,Lisbon,2024-08-02 00:00:00,2024-08-13,11,Martin Hughes,49,Male,German,Airbnb,769.74,Train,1331.58
22,London,2023-04-24 00:00:00,2023-05-17,23,Jessica Erickson,39,Male,Spanish,Airbnb,275.77,Boat,860.94
23,Lima,2024-03-04 00:00:00,2024-03-12,8,Sharon Richmond,26,Female,Thai,Resort,364.02,Plane,668.79
24,Prague,2023-08-18 00:00:00,2023-08-25,7,Natalie Smith,20,Female,Emirati,Villa,274.67,Car rental,
25,Oslo,27-07-2023,2023-08-20,24,Mrs. Stephanie Merritt,73,Female,Dutch,Hostel,93.04,Plane,920.32
26,Singapore,2023-06-19 00:00:00,,14,Ryan Silva,19,Female,Portuguese,Airbnb,808.43,Plane,812.45
27,Bangkok,2023-09-28 00:00:00,2023-10-16,18,Colleen Carson,26,Male,Portuguese,Airbnb,789.76,Boat,867.08
28,Sydney,2023-03-01 00:00:00,2023-03-12,11,Mark Morales III,57,Male,French,Hotel,253.22,Plane,837.25
29,Barcelona,2023-04-23 00:00:00,2023-05-12,19,Brandy Franklin,80,Male,Japanese,Hostel,524.38,Boat,946.56
30,Athens,2024-04-14 00:00:00,2024-05-02,18,Wayne Bentley,34,Male,South Korean,Hotel,188.36,Plane,462.16
31,Toronto,2024-04-17 00:00:00,2024-05-01,14,Susan Rodriguez,58,Male,Mexican,Airbnb,413.14,Car rental,1119.78
32,Berlin,2023-06-06 00:00:00,2023-06-25,19,Dustin Bolton,49,Male,German,Hotel,784.85,Bus,558.69
33,Dublin,2024-05-08 00:00:00,2024-05-17,9,Jessica Sanchez,57,Male,Thai,Airbnb,982.97,Boat,1140.19
34,Tokyo,2024-04-08 00:00:00,2024-04-27,19,Angela Tyler,75,Female,Dutch,Airbnb,610.13,Boat,53.98
