Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost
1,Istanbul,2023-07-12 00:00:00,2023-07-15,3,Emily Nelson,58,Female,Spanish,Hotel,487.1208985970951,Plane,42.36
2,Miami,2023-06-11 00:00:00,2023-06-28,17,Ashley Short,33,Male,Brazilian,Airbnb,132.30469842178388,Bus,502.06
3,Bangkok,2024-08-01 00:00:00,2024-08-26,25,Madeline Hood,48,Male,Mexican,Resort,1159.74292454945,Bus,253.9
4,Rome,2024-08-13 00:00:00,2024-08-30,17,Kelsey Mcclure,52,Male,German,Hostel,97.62113548721734,Bus,969.8
5,Sydney,2023-08-18 00:00:00,2023-09-06,19,Mark Cuevas,77,Female,Norwegian,Airbnb,271.27749872597747,Train,697.69
6,Tokyo,2023-10-13 00:00:00,2023-10-24,11,Heather Hernandez,41,Male,Turkish,Airbnb,159.18801980678865,Bus,1127.4
7,New York,2023-07-06 00:00:00,2023-07-23,17,Jessica Santos,37,Female,Thai,Hostel,45.35690977088924,Car rental,422.36
8,Tokyo,2023-07-19 00:00:00,2023-08-12,24,Jacob Schultz,48,Male,Portuguese,Hostel,40.549494246058515,Plane,777.05
9,Amsterdam,2024-08-25 00:00:00,2024-09-10,16,Christopher Berry,61,Male,Vietnamese,Airbnb,210.68139438488862,Plane,1407.36
10,Miami,2024-08-07 00:00:00,2024-08-28,21,Beth Savage,58,Male,Canadian,Airbnb,236.74359111808877,Train,354.56
11,Toronto,24-11-2024,2024-12-17,23,Thomas Nunez,21,Female,German,Airbnb,210.0708076016732,Boat,291.73
12,Barcelona,2024-10-28 00:00:00,2024-11-20,23,Leah Mendoza,52,Female,Portuguese,Resort,1355.3670532142257,Car rental,290.03
13,Toronto,2023-06-16 00:00:00,2023-07-08,22,Shawn Taylor,43,Male,Turkish,Hotel,411.71795456873434,Bus,1152.55
14,London,2023-06-06 00:00:00,2023-06-10,4,Erik Scott,76,Male,Russian,Guesthouse,124.62890923672771,Plane,769.83
15,Sydney,2024-03-22 00:00:00,2024-04-16,25,Mark Jackson,25,Female,Italian,Airbnb,166.0976915155573,Bus,1091.74
